author,sentence
Jane Austen,"As a house, Barton Cottage, though small, was comfortable and compact; but as a cottage it was defective, for the building was regular, the roof was tiled, the window shutters were not painted green, nor were the walls covered with honeysuckles. A narrow passage led directly through the house into the garden behind. On each side of the entrance was a sitting room, about sixteen feet square; and beyond them were the offices and the stairs. Four bed-rooms and two garrets formed the rest of the house. It had not been built many years and was in good repair. In comparison of Norland, it was poor and small indeed!—but the tears which recollection called forth as they entered the house were soon dried away. They were cheered by the joy of the servants on their arrival, and each for the sake of the others resolved to appear happy. It was very early in September; the season was fine, and from first seeing the place under the advantage of good weather, they received an impression in its favour which was of material service in recommending it to their lasting approbation."
Jane Austen,"With the size and furniture of the house Mrs. Dashwood was upon the whole well satisfied; for though her former style of life rendered many additions to the latter indispensable, yet to add and improve was a delight to her; and she had at this time ready money enough to supply all that was wanted of greater elegance to the apartments. “As for the house itself, to be sure,” said she, “it is too small for our family, but we will make ourselves tolerably comfortable for the present, as it is too late in the year for improvements. Perhaps in the spring, if I have plenty of money, as I dare say I shall, we may think about building. These parlors are both too small for such parties of our friends as I hope to see often collected here; and I have some thoughts of throwing the passage into one of them with perhaps a part of the other, and so leave the remainder of that other for an entrance; this, with a new drawing room which may be easily added, and a bed-chamber and garret above, will make it a very snug little cottage. I could wish the stairs were handsome. But one must not expect every thing; though I suppose it would be no difficult matter to widen them. I shall see how much I am before-hand with the world in the spring, and we will plan our improvements accordingly.”"
Jane Austen,"In such employments as these they were interrupted soon after breakfast the next day by the entrance of their landlord, who called to welcome them to Barton, and to offer them every accommodation from his own house and garden in which theirs might at present be deficient. Sir John Middleton was a good looking man about forty. He had formerly visited at Stanhill, but it was too long for his young cousins to remember him. His countenance was thoroughly good-humoured; and his manners were as friendly as the style of his letter. Their arrival seemed to afford him real satisfaction, and their comfort to be an object of real solicitude to him. He said much of his earnest desire of their living in the most sociable terms with his family, and pressed them so cordially to dine at Barton Park every day till they were better settled at home, that, though his entreaties were carried to a point of perseverance beyond civility, they could not give offence. His kindness was not confined to words; for within an hour after he left them, a large basket full of garden stuff and fruit arrived from the park, which was followed before the end of the day by a present of game. He insisted, moreover, on conveying all their letters to and from the post for them, and would not be denied the satisfaction of sending them his newspaper every day."
Jane Austen,"Conversation however was not wanted, for Sir John was very chatty, and Lady Middleton had taken the wise precaution of bringing with her their eldest child, a fine little boy about six years old, by which means there was one subject always to be recurred to by the ladies in case of extremity, for they had to enquire his name and age, admire his beauty, and ask him questions which his mother answered for him, while he hung about her and held down his head, to the great surprise of her ladyship, who wondered at his being so shy before company, as he could make noise enough at home. On every formal visit a child ought to be of the party, by way of provision for discourse. In the present case it took up ten minutes to determine whether the boy were most like his father or mother, and in what particular he resembled either, for of course every body differed, and every body was astonished at the opinion of the others."
Jane Austen,"Barton Park was about half a mile from the cottage. The ladies had passed near it in their way along the valley, but it was screened from their view at home by the projection of a hill. The house was large and handsome; and the Middletons lived in a style of equal hospitality and elegance. The former was for Sir John’s gratification, the latter for that of his lady. They were scarcely ever without some friends staying with them in the house, and they kept more company of every kind than any other family in the neighbourhood. It was necessary to the happiness of both; for however dissimilar in temper and outward behaviour, they strongly resembled each other in that total want of talent and taste which confined their employments, unconnected with such as society produced, within a very narrow compass. Sir John was a sportsman, Lady Middleton a mother. He hunted and shot, and she humoured her children; and these were their only resources. Lady Middleton had the advantage of being able to spoil her children all the year round, while Sir John’s independent employments were in existence only half the time. Continual engagements at home and abroad, however, supplied all the deficiencies of nature and education; supported the good spirits of Sir John, and gave exercise to the good breeding of his wife."
Jane Austen,"The arrival of a new family in the country was always a matter of joy to him, and in every point of view he was charmed with the inhabitants he had now procured for his cottage at Barton. The Miss Dashwoods were young, pretty, and unaffected. It was enough to secure his good opinion; for to be unaffected was all that a pretty girl could want to make her mind as captivating as her person. The friendliness of his disposition made him happy in accommodating those, whose situation might be considered, in comparison with the past, as unfortunate. In showing kindness to his cousins therefore he had the real satisfaction of a good heart; and in settling a family of females only in his cottage, he had all the satisfaction of a sportsman; for a sportsman, though he esteems only those of his sex who are sportsmen likewise, is not often desirous of encouraging their taste by admitting them to a residence within his own manor."
Jane Austen,"Mrs. Dashwood and her daughters were met at the door of the house by Sir John, who welcomed them to Barton Park with unaffected sincerity; and as he attended them to the drawing room repeated to the young ladies the concern which the same subject had drawn from him the day before, at being unable to get any smart young men to meet them. They would see, he said, only one gentleman there besides himself; a particular friend who was staying at the park, but who was neither very young nor very gay. He hoped they would all excuse the smallness of the party, and could assure them it should never happen so again. He had been to several families that morning in hopes of procuring some addition to their number, but it was moonlight and every body was full of engagements. Luckily Lady Middleton’s mother had arrived at Barton within the last hour, and as she was a very cheerful agreeable woman, he hoped the young ladies would not find it so very dull as they might imagine. The young ladies, as well as their mother, were perfectly satisfied with having two entire strangers of the party, and wished for no more."
Jane Austen,"Marianne’s performance was highly applauded. Sir John was loud in his admiration at the end of every song, and as loud in his conversation with the others while every song lasted. Lady Middleton frequently called him to order, wondered how any one’s attention could be diverted from music for a moment, and asked Marianne to sing a particular song which Marianne had just finished. Colonel Brandon alone, of all the party, heard her without being in raptures. He paid her only the compliment of attention; and she felt a respect for him on the occasion, which the others had reasonably forfeited by their shameless want of taste. His pleasure in music, though it amounted not to that ecstatic delight which alone could sympathize with her own, was estimable when contrasted against the horrible insensibility of the others; and she was reasonable enough to allow that a man of five and thirty might well have outlived all acuteness of feeling and every exquisite power of enjoyment. She was perfectly disposed to make every allowance for the colonel’s advanced state of life which humanity required."
Jane Austen,"Mrs. Jennings was a widow with an ample jointure. She had only two daughters, both of whom she had lived to see respectably married, and she had now therefore nothing to do but to marry all the rest of the world. In the promotion of this object she was zealously active, as far as her ability reached; and missed no opportunity of projecting weddings among all the young people of her acquaintance. She was remarkably quick in the discovery of attachments, and had enjoyed the advantage of raising the blushes and the vanity of many a young lady by insinuations of her power over such a young man; and this kind of discernment enabled her soon after her arrival at Barton decisively to pronounce that Colonel Brandon was very much in love with Marianne Dashwood. She rather suspected it to be so, on the very first evening of their being together, from his listening so attentively while she sang to them; and when the visit was returned by the Middletons’ dining at the cottage, the fact was ascertained by his listening to her again. It must be so. She was perfectly convinced of it. It would be an excellent match, for _he_ was rich, and _she_ was handsome. Mrs. Jennings had been anxious to see Colonel Brandon well married, ever since her connection with Sir John first brought him to her knowledge; and she was always anxious to get a good husband for every pretty girl."
Jane Austen,"Their visitors, except those from Barton Park, were not many; for, in spite of Sir John’s urgent entreaties that they would mix more in the neighbourhood, and repeated assurances of his carriage being always at their service, the independence of Mrs. Dashwood’s spirit overcame the wish of society for her children; and she was resolute in declining to visit any family beyond the distance of a walk. There were but few who could be so classed; and it was not all of them that were attainable. About a mile and a half from the cottage, along the narrow winding valley of Allenham, which issued from that of Barton, as formerly described, the girls had, in one of their earliest walks, discovered an ancient respectable looking mansion which, by reminding them a little of Norland, interested their imagination and made them wish to be better acquainted with it. But they learnt, on enquiry, that its possessor, an elderly lady of very good character, was unfortunately too infirm to mix with the world, and never stirred from home."
Jane Austen,"His manly beauty and more than common gracefulness were instantly the theme of general admiration, and the laugh which his gallantry raised against Marianne received particular spirit from his exterior attractions. Marianne herself had seen less of his person than the rest, for the confusion which crimsoned over her face, on his lifting her up, had robbed her of the power of regarding him after their entering the house. But she had seen enough of him to join in all the admiration of the others, and with an energy which always adorned her praise. His person and air were equal to what her fancy had ever drawn for the hero of a favourite story; and in his carrying her into the house with so little previous formality, there was a rapidity of thought which particularly recommended the action to her. Every circumstance belonging to him was interesting. His name was good, his residence was in their favourite village, and she soon found out that of all manly dresses a shooting-jacket was the most becoming. Her imagination was busy, her reflections were pleasant, and the pain of a sprained ankle was disregarded."
Jane Austen,"Miss Dashwood had a delicate complexion, regular features, and a remarkably pretty figure. Marianne was still handsomer. Her form, though not so correct as her sister’s, in having the advantage of height, was more striking; and her face was so lovely, that when in the common cant of praise, she was called a beautiful girl, truth was less violently outraged than usually happens. Her skin was very brown, but, from its transparency, her complexion was uncommonly brilliant; her features were all good; her smile was sweet and attractive; and in her eyes, which were very dark, there was a life, a spirit, an eagerness, which could hardly be seen without delight. From Willoughby their expression was at first held back, by the embarrassment which the remembrance of his assistance created. But when this passed away, when her spirits became collected, when she saw that to the perfect good-breeding of the gentleman, he united frankness and vivacity, and above all, when she heard him declare, that of music and dancing he was passionately fond, she gave him such a look of approbation as secured the largest share of his discourse to herself for the rest of his stay."
Jane Austen,"It was only necessary to mention any favourite amusement to engage her to talk. She could not be silent when such points were introduced, and she had neither shyness nor reserve in their discussion. They speedily discovered that their enjoyment of dancing and music was mutual, and that it arose from a general conformity of judgment in all that related to either. Encouraged by this to a further examination of his opinions, she proceeded to question him on the subject of books; her favourite authors were brought forward and dwelt upon with so rapturous a delight, that any young man of five and twenty must have been insensible indeed, not to become an immediate convert to the excellence of such works, however disregarded before. Their taste was strikingly alike. The same books, the same passages were idolized by each—or if any difference appeared, any objection arose, it lasted no longer than till the force of her arguments and the brightness of her eyes could be displayed. He acquiesced in all her decisions, caught all her enthusiasm; and long before his visit concluded, they conversed with the familiarity of a long-established acquaintance."
Jane Austen,"Colonel Brandon’s partiality for Marianne, which had so early been discovered by his friends, now first became perceptible to Elinor, when it ceased to be noticed by them. Their attention and wit were drawn off to his more fortunate rival; and the raillery which the other had incurred before any partiality arose, was removed when his feelings began really to call for the ridicule so justly annexed to sensibility. Elinor was obliged, though unwillingly, to believe that the sentiments which Mrs. Jennings had assigned him for her own satisfaction, were now actually excited by her sister; and that however a general resemblance of disposition between the parties might forward the affection of Mr. Willoughby, an equally striking opposition of character was no hindrance to the regard of Colonel Brandon. She saw it with concern; for what could a silent man of five and thirty hope, when opposed to a very lively one of five and twenty? and as she could not even wish him successful, she heartily wished him indifferent. She liked him—in spite of his gravity and reserve, she beheld in him an object of interest. His manners, though serious, were mild; and his reserve appeared rather the result of some oppression of spirits than of any natural gloominess of temper. Sir John had dropped hints of past injuries and disappointments, which justified her belief of his being an unfortunate man, and she regarded him with respect and compassion."
Jane Austen,"Little had Mrs. Dashwood or her daughters imagined when they first came into Devonshire, that so many engagements would arise to occupy their time as shortly presented themselves, or that they should have such frequent invitations and such constant visitors as to leave them little leisure for serious employment. Yet such was the case. When Marianne was recovered, the schemes of amusement at home and abroad, which Sir John had been previously forming, were put into execution. The private balls at the park then began; and parties on the water were made and accomplished as often as a showery October would allow. In every meeting of the kind Willoughby was included; and the ease and familiarity which naturally attended these parties were exactly calculated to give increasing intimacy to his acquaintance with the Dashwoods, to afford him opportunity of witnessing the excellencies of Marianne, of marking his animated admiration of her, and of receiving, in her behaviour to himself, the most pointed assurance of her affection."
Jane Austen,"“This,” said he, “cannot hold; but a change, a total change of sentiments—No, no, do not desire it; for when the romantic refinements of a young mind are obliged to give way, how frequently are they succeeded by such opinions as are but too common, and too dangerous! I speak from experience. I once knew a lady who in temper and mind greatly resembled your sister, who thought and judged like her, but who from an enforced change—from a series of unfortunate circumstances—” Here he stopt suddenly; appeared to think that he had said too much, and by his countenance gave rise to conjectures, which might not otherwise have entered Elinor’s head. The lady would probably have passed without suspicion, had he not convinced Miss Dashwood that what concerned her ought not to escape his lips. As it was, it required but a slight effort of fancy to connect his emotion with the tender recollection of past regard. Elinor attempted no more. But Marianne, in her place, would not have done so little. The whole story would have been speedily formed under her active imagination; and every thing established in the most melancholy order of disastrous love."
Jane Austen,"She blushed at this hint; but it was even visibly gratifying to her; and after a ten minutes’ interval of earnest thought, she came to her sister again, and said with great good humour, “Perhaps, Elinor, it _was_ rather ill-judged in me to go to Allenham; but Mr. Willoughby wanted particularly to show me the place; and it is a charming house, I assure you.—There is one remarkably pretty sitting room up stairs; of a nice comfortable size for constant use, and with modern furniture it would be delightful. It is a corner room, and has windows on two sides. On one side you look across the bowling-green, behind the house, to a beautiful hanging wood, and on the other you have a view of the church and village, and, beyond them, of those fine bold hills that we have so often admired. I did not see it to advantage, for nothing could be more forlorn than the furniture,—but if it were newly fitted up—a couple of hundred pounds, Willoughby says, would make it one of the pleasantest summer-rooms in England.”"
Jane Austen,"“Something very melancholy must be the matter, I am sure,” said she. “I could see it in his face. Poor man! I am afraid his circumstances may be bad. The estate at Delaford was never reckoned more than two thousand a year, and his brother left everything sadly involved. I do think he must have been sent for about money matters, for what else can it be? I wonder whether it is so. I would give anything to know the truth of it. Perhaps it is about Miss Williams and, by the bye, I dare say it is, because he looked so conscious when I mentioned her. May be she is ill in town; nothing in the world more likely, for I have a notion she is always rather sickly. I would lay any wager it is about Miss Williams. It is not so very likely he should be distressed in his circumstances _now_, for he is a very prudent man, and to be sure must have cleared the estate by this time. I wonder what it can be! May be his sister is worse at Avignon, and has sent for him over. His setting off in such a hurry seems very like it. Well, I wish him out of all his trouble with all my heart, and a good wife into the bargain.”"
Jane Austen,"“How often did I wish,” added he, “when I was at Allenham this time twelvemonth, that Barton cottage were inhabited! I never passed within view of it without admiring its situation, and grieving that no one should live in it. How little did I then think that the very first news I should hear from Mrs. Smith, when I next came into the country, would be that Barton cottage was taken: and I felt an immediate satisfaction and interest in the event, which nothing but a kind of prescience of what happiness I should experience from it, can account for. Must it not have been so, Marianne?” speaking to her in a lowered voice. Then continuing his former tone, he said, “And yet this house you would spoil, Mrs. Dashwood? You would rob it of its simplicity by imaginary improvement! and this dear parlour in which our acquaintance first began, and in which so many happy hours have been since spent by us together, you would degrade to the condition of a common entrance, and every body would be eager to pass through the room which has hitherto contained within itself more real accommodation and comfort than any other apartment of the handsomest dimensions in the world could possibly afford.”"
Jane Austen,"“Yes. I have explained it to myself in the most satisfactory way;—but you, Elinor, who love to doubt where you can—it will not satisfy _you_, I know; but you shall not talk _me_ out of my trust in it. I am persuaded that Mrs. Smith suspects his regard for Marianne, disapproves of it, (perhaps because she has other views for him,) and on that account is eager to get him away;—and that the business which she sends him off to transact is invented as an excuse to dismiss him. This is what I believe to have happened. He is, moreover, aware that she _does_ disapprove the connection, he dares not therefore at present confess to her his engagement with Marianne, and he feels himself obliged, from his dependent situation, to give into her schemes, and absent himself from Devonshire for a while. You will tell me, I know, that this may or may _not_ have happened; but I will listen to no cavil, unless you can point out any other method of understanding the affair as satisfactory at this. And now, Elinor, what have you to say?”"
Jane Austen,"“I hope not, I believe not,” cried Elinor. “I love Willoughby, sincerely love him; and suspicion of his integrity cannot be more painful to yourself than to me. It has been involuntary, and I will not encourage it. I was startled, I confess, by the alteration in his manners this morning;—he did not speak like himself, and did not return your kindness with any cordiality. But all this may be explained by such a situation of his affairs as you have supposed. He had just parted from my sister, had seen her leave him in the greatest affliction; and if he felt obliged, from a fear of offending Mrs. Smith, to resist the temptation of returning here soon, and yet aware that by declining your invitation, by saying that he was going away for some time, he should seem to act an ungenerous, a suspicious part by our family, he might well be embarrassed and disturbed. In such a case, a plain and open avowal of his difficulties would have been more to his honour I think, as well as more consistent with his general character;—but I will not raise objections against any one’s conduct on so illiberal a foundation, as a difference in judgment from myself, or a deviation from what I may think right and consistent.”"
Jane Austen,"One morning, about a week after his leaving the country, Marianne was prevailed on to join her sisters in their usual walk, instead of wandering away by herself. Hitherto she had carefully avoided every companion in her rambles. If her sisters intended to walk on the downs, she directly stole away towards the lanes; if they talked of the valley, she was as speedy in climbing the hills, and could never be found when the others set off. But at length she was secured by the exertions of Elinor, who greatly disapproved such continual seclusion. They walked along the road through the valley, and chiefly in silence, for Marianne’s _mind_ could not be controlled, and Elinor, satisfied with gaining one point, would not then attempt more. Beyond the entrance of the valley, where the country, though still rich, was less wild and more open, a long stretch of the road which they had travelled on first coming to Barton, lay before them; and on reaching that point, they stopped to look around them, and examine a prospect which formed the distance of their view from the cottage, from a spot which they had never happened to reach in any of their walks before."
Jane Austen,"He was welcomed by them all with great cordiality, but especially by Marianne, who showed more warmth of regard in her reception of him than even Elinor herself. To Marianne, indeed, the meeting between Edward and her sister was but a continuation of that unaccountable coldness which she had often observed at Norland in their mutual behaviour. On Edward’s side, more particularly, there was a deficiency of all that a lover ought to look and say on such an occasion. He was confused, seemed scarcely sensible of pleasure in seeing them, looked neither rapturous nor gay, said little but what was forced from him by questions, and distinguished Elinor by no mark of affection. Marianne saw and listened with increasing surprise. She began almost to feel a dislike of Edward; and it ended, as every feeling must end with her, by carrying back her thoughts to Willoughby, whose manners formed a contrast sufficiently striking to those of his brother elect."
Jane Austen,"Mrs. Dashwood was surprised only for a moment at seeing him; for his coming to Barton was, in her opinion, of all things the most natural. Her joy and expression of regard long outlived her wonder. He received the kindest welcome from her; and shyness, coldness, reserve could not stand against such a reception. They had begun to fail him before he entered the house, and they were quite overcome by the captivating manners of Mrs. Dashwood. Indeed a man could not very well be in love with either of her daughters, without extending the passion to her; and Elinor had the satisfaction of seeing him soon become more like himself. His affections seemed to reanimate towards them all, and his interest in their welfare again became perceptible. He was not in spirits, however; he praised their house, admired its prospect, was attentive, and kind; but still he was not in spirits. The whole family perceived it, and Mrs. Dashwood, attributing it to some want of liberality in his mother, sat down to table indignant against all selfish parents."
Jane Austen,"Edward remained a week at the cottage; he was earnestly pressed by Mrs. Dashwood to stay longer; but, as if he were bent only on self-mortification, he seemed resolved to be gone when his enjoyment among his friends was at the height. His spirits, during the last two or three days, though still very unequal, were greatly improved—he grew more and more partial to the house and environs—never spoke of going away without a sigh—declared his time to be wholly disengaged—even doubted to what place he should go when he left them—but still, go he must. Never had any week passed so quickly—he could hardly believe it to be gone. He said so repeatedly; other things he said too, which marked the turn of his feelings and gave the lie to his actions. He had no pleasure at Norland; he detested being in town; but either to Norland or London, he must go. He valued their kindness beyond any thing, and his greatest happiness was in being with them. Yet, he must leave them at the end of a week, in spite of their wishes and his own, and without any restraint on his time."
Jane Austen,"From a reverie of this kind, as she sat at her drawing-table, she was roused one morning, soon after Edward’s leaving them, by the arrival of company. She happened to be quite alone. The closing of the little gate, at the entrance of the green court in front of the house, drew her eyes to the window, and she saw a large party walking up to the door. Amongst them were Sir John and Lady Middleton and Mrs. Jennings, but there were two others, a gentleman and lady, who were quite unknown to her. She was sitting near the window, and as soon as Sir John perceived her, he left the rest of the party to the ceremony of knocking at the door, and stepping across the turf, obliged her to open the casement to speak to him, though the space was so short between the door and the window, as to make it hardly possible to speak at one without being heard at the other."
Jane Austen,"Mrs. Palmer was several years younger than Lady Middleton, and totally unlike her in every respect. She was short and plump, had a very pretty face, and the finest expression of good humour in it that could possibly be. Her manners were by no means so elegant as her sister’s, but they were much more prepossessing. She came in with a smile, smiled all the time of her visit, except when she laughed, and smiled when she went away. Her husband was a grave looking young man of five or six and twenty, with an air of more fashion and sense than his wife, but of less willingness to please or be pleased. He entered the room with a look of self-consequence, slightly bowed to the ladies, without speaking a word, and, after briefly surveying them and their apartments, took up a newspaper from the table, and continued to read it as long as he staid."
Jane Austen,"Elinor was not inclined, after a little observation, to give him credit for being so genuinely and unaffectedly ill-natured or ill-bred as he wished to appear. His temper might perhaps be a little soured by finding, like many others of his sex, that through some unaccountable bias in favour of beauty, he was the husband of a very silly woman—but she knew that this kind of blunder was too common for any sensible man to be lastingly hurt by it. It was rather a wish of distinction, she believed, which produced his contemptuous treatment of every body, and his general abuse of every thing before him. It was the desire of appearing superior to other people. The motive was too common to be wondered at; but the means, however they might succeed by establishing his superiority in ill-breeding, were not likely to attach any one to him except his wife."
Jane Austen,"“Oh dear, yes; I know him extremely well,” replied Mrs. Palmer;—“Not that I ever spoke to him, indeed; but I have seen him for ever in town. Somehow or other I never happened to be staying at Barton while he was at Allenham. Mama saw him here once before;—but I was with my uncle at Weymouth. However, I dare say we should have seen a great deal of him in Somersetshire, if it had not happened very unluckily that we should never have been in the country together. He is very little at Combe, I believe; but if he were ever so much there, I do not think Mr. Palmer would visit him, for he is in the opposition, you know, and besides it is such a way off. I know why you inquire about him, very well; your sister is to marry him. I am monstrous glad of it, for then I shall have her for a neighbour you know.”"
